metabolite,name,molecular_weight,C_number,N_number,hmdb,inchi,kegg.compound,pubchem.compound,reaction
tsul[e],thiosulfate(2-),112.12819999999999,0,0,HMDB00257,"InChI=1S/H2O3S2/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",C05529,1084,EX_tsul(e)
n2[e],Nitrogen,28.0134,0,2,,,,,EX_n2(e)
2omfuc[e],2-o-methylfucose (rare sugar in rhamnogalacturonan II),178.18306,7,0,,,,444792,EX_2omfuc(e)
2omxyl[e],2-O-methylxylose (rare sugar in rhamnogalacturonan II),164.15648,6,0,,,,,EX_2omxyl(e)
3ddlhept[e],3-deoxy-d-lyxo-heptulosaric acid (rare sugar in rhamnogalacturonan II),221.14156,7,0,,,,3082831,EX_3ddlhept(e)
acerA[e],Aceric acid (3-C-carboxy-5-deoxy-l-xylose) (rare sugar in rhamnogalacturonan II),177.13206,6,0,,,,,EX_acerA(e)
apio_D[e],D-Apiose (rare sugar in rhamnogalacturonan II),150.1299,5,0,,,C01488,,EX_apio-D(e)
kdo[e],3-Deoxy-D-manno-2-octulosonate,237.18402,8,0,,,,,EX_kdo(e)
mannan[e],"Alpha-mannan, yeast, has a MW of about 25000 (PMID: 5461381), equals ~ 140 mannose units. ID according to iMM904",22717.69928,840,0,,,,,EX_mannan(e)
rhamnogalurII[e],"Wine rhamnogalacturonan II, MW ~ 5-10 kDa, 37% galur, 16% rmn, 3% fuc-L, 11% arab-L, 6% gal, 5% glcur, 4% 2omfuc, 3% 2omxyl, 6% ... <Preview truncated at 128 characters>",8623.7614,317,0,,,,,EX_rhamnogalurII(e)
agal1b6agal[e],"Beta-1,6-N,N-diacetylgalactosamine",424.40032,16,2,,,,,EX_agal1b6agal(e)
dttp[e],dTTP,478.136503,10,2,HMDB01342,,C00459,64968,EX_dttp(e)
2hyoxplac[e],2-Hydroxyphenylacetate,151.13938,8,0,HMDB00669,"InChI=1/C8H8O3/c9-7-4-2-1-3-6(7)5-8(10)11/h1-4,9H,5H2,(H,10,11)",C05852,11970,EX_2hyoxplac(e)
acmana[e],N-acetyl-D-mannosamine,221.2078,8,1,HMDB01129,"InChI=1S/C8H15NO6/c1-4(12)9-5(2-10)7(14)8(15)6(13)3-11/h2,5-8,11,13-15H,3H2,1H3,(H,9,12)/t5-,6-,7-,8-/m0/s1",C00645,439281,EX_acmana(e)
glcn[e],D-gluconate,195.14734,6,0,HMDB00625,"InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/p-1/t2-,3-,4+,5-/m1/s1",C00257,10690,EX_glcn(e)
ala_D[e],D-alanine,89.09318,3,1,HMDB01310,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m1/s1",C00133,71080,EX_ala_D(e)
phenol[e],Phenol,94.11124,6,0,,,,,EX_phenol(e)
akg[e],2-Oxoglutarate,144.08226,5,0,HMDB00208,"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)/p-2",C00026,51,EX_akg(e)
lanost[e],lanosterol,426.71740000000005,30,0,HMDB01251,,C01724,246983,EX_lanost(e)
inost[e],myo-inositol,180.15588,6,0,HMDB00211,"InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H/t1-,2-,3-,4+,5-,6-",C00137,892,EX_inost(e)
ser_D[e],D-serine,105.09258,3,1,HMDB03406,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m1/s1",C00740,71077,EX_ser_D(e)
chol[e],Choline,104.17076,5,1,HMDB00097,"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1",C00114,305,EX_chol(e)
nmn[e],NMN,333.211221,11,2,HMDB00229,,C00455,14180,EX_nmn(e)
no[e],Nitric oxide,30.0061,0,1,HMDB03378,InChI=1S/NO/c1-2,C00533,145068,EX_no(e)
ni2[e],nickel,58.6934,0,0,,,,,EX_ni2(e)
2ddglcn[e],2-Dehydro-3-deoxy-D-gluconate,177.13206,6,0,,,,,EX_2ddglcn(e)
etha[e],etha[c],62.09102,2,1,HMDB00149,"InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2/p+1",C00189,700,EX_etha(e)
pppn[e],Phenylpropanoate,149.16656,9,0,,,,,EX_pppn(e)
pime[e],Pimelate,158.1519,7,0,,,,,EX_pime(e)
HC00319[e],Malonate,102.04558,3,0,HMDB00691,"InChI=1S/C3H4O4/c4-2(5)1-3(6)7/h1H2,(H,4,5)(H,6,7)",C00383,867,EX_HC00319(e)
34dhpha[e],"(3,4-dihydroxyphenyl)acetate",167.13878,8,0,HMDB01336,"InChI=1S/C8H8O4/c9-6-2-1-5(3-7(6)10)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)/p-1",C01161,,EX_34dhpha(e)
3hphac[e],3-Hydroxyphenylacetate,151.13938,8,0,,,,,EX_3hphac(e)
tma[e],trimethylamine,60.1182,3,1,,,,,EX_tma(e)
tmao[e],Trimethylamine N-oxide,75.10966,3,1,,,,,EX_tmao(e)
bhb[e],(R)-3-hydroxybutyrate,103.09658,4,0,HMDB00011,"InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)/p-1/t3-/m1/s1",C01089,,EX_bhb(e)
chols[e],Choline sulfate,183.22602,5,1,,,,,EX_chols(e)
crn[e],L-Carnitine,161.1989,7,1,HMDB00062,"InChI=1S/C7H15NO3/c1-8(2,3)5-6(9)4-7(10)11/h6,9H,4-5H2,1-3H3/t6-/m1/s1",C15025,10917,EX_crn(e)
oxa[e],oxalate(2-),88.019,2,0,HMDB02329,"InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H,3,4)(H,5,6)/p-2",C00209,971,EX_oxa(e)
hom_L[e],L-homoserine,119.11916,4,1,HMDB00719,"InChI=1S/C4H9NO3/c5-3(1-2-6)4(7)8/h3,6H,1-2,5H2,(H,7,8)/t3-/m0/s1",C00263,12647,EX_hom_L(e)
34dhphe[e],L-dopa,197.18794,9,1,HMDB00181,"InChI=1S/C9H11NO4/c10-6(9(13)14)3-5-1-2-7(11)8(12)4-5/h1-2,4,6,11-12H,3,10H2,(H,13,14)/t6-/m0/s1",C00355,,EX_34dhphe(e)
5htrp[e],5-hydroxy-L-tryptophan,220.22458,11,2,HMDB00472,"InChI=1S/C11H12N2O3/c12-9(11(15)16)3-6-5-13-10-2-1-7(14)4-8(6)10/h1-2,4-5,9,13-14H,3,12H2,(H,15,16)/t9-/m0/s1",C01017,439280,EX_5htrp(e)
actn_R[e],(R)-Acetoin,88.10512,4,0,,,,,EX_actn_R(e)
diact[e],Diacetyl,86.08924,4,0,,,,,EX_diact(e)
dopa[e],dopaminium(1+),154.18637999999999,8,1,HMDB00073,"InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2/p+1",C03758,681,EX_dopa(e)
hista[e],histamium,112.15299999999999,5,3,HMDB00870,"InChI=1S/C5H9N3/c6-2-1-5-3-7-4-8-5/h3-4H,1-2,6H2,(H,7,8)/p+1",C00388,774,EX_hista(e)
srtn[e],serotonin(1+),177.22302,10,2,HMDB00259,"InChI=1S/C10H12N2O/c11-4-3-7-6-12-10-2-1-8(13)5-9(7)10/h1-2,5-6,12-13H,3-4,11H2/p+1",C00780,5202,EX_srtn(e)
trypta[e],tryptaminium,161.22362,10,2,HMDB00303,"InChI=1S/C10H12N2/c11-6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,7,12H,5-6,11H2/p+1",C00398,1150,EX_trypta(e)
5mthf[e],5-Methyltetrahydrofolate,458.44786,20,7,HMDB01396,,C00440,439234,EX_5mthf(e)
dpcoa[e],Dephospho-CoA,685.538342,21,7,HMDB01373,,C00882,444485,EX_dpcoa(e)
thf[e],"5,6,7,8-Tetrahydrofolate",443.41334,19,7,HMDB01846,,C00101,91443,EX_thf(e)
acac[e],acetoacetate,101.0807,4,0,HMDB00060,"InChI=1S/C4H6O3/c1-3(5)2-4(6)7/h2H2,1H3,(H,6,7)/p-1",C00164,96,EX_acac(e)
HC02194[e],Ursodiol,391.56406,24,0,HMDB00946,,C07880,,EX_HC02194(e)
uchol[e],Ursocholate,407.56346,24,0,HMDB00917,,C17644,,EX_uchol(e)
HC02191[e],lithocholate,375.56466,24,0,HMDB00761,,C03990,9903,EX_HC02191(e)
adchac[e],Allodeoxycholic acid,391.56406,24,0,,,C17687,,EX_adchac(e)
alchac[e],Allolithocholic acid,375.56466,24,0,,,,,EX_alchac(e)
dchac[e],deoxycholic acid,391.56406,24,0,HMDB00626,,C04483,222528,EX_dchac(e)
dms[e],Dimethyl sulfide,62.13404,2,0,,,,,EX_dms(e)
dmso[e],Dimethyl sulfoxide,78.13344,2,0,,,,,EX_dmso(e)
tet[e],Tetrathionate,224.25639999999999,0,0,,,,,EX_tet(e)
so3[e],Sulfite,80.0632,0,0,HMDB00240,"InChI=1S/H2O3S/c1-4(2)3/h(H2,1,2,3)/p-2",C00094,1100,EX_so3(e)
ch4s[e],Methanethiol,48.107459999999996,1,0,HMDB03227,"InChI=1S/CH4S/c1-2/h2H,1H3",C00409,878,EX_ch4s(e)
mobd[e],Molybdate,159.9376,0,0,,,,,EX_mobd(e)
phpyr[e],keto-phenylpyruvate,163.15008,9,0,HMDB00205,"InChI=1S/C9H8O3/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,11,12)/p-1",C00166,997,EX_phpyr(e)
12ppd_S_m,"(S)-propane-1,2-diol",76.09442,3,0,HMDB06213,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3/t3-/m0/s1",C02917,,EX_12ppd_S_m
26dap_M_m,"meso-2,6-Diaminoheptanedioate",190.19706,7,2,,,,,EX_26dap_M_m
2obut_m,2-Oxobutanoate,101.0807,4,0,HMDB00005,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",C00109,58,EX_2obut_m
4abut_m,4-Aminobutanoate,103.11976,4,1,HMDB00112,"InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)",C00334,119,EX_4abut_m
MGlcn10_m,mucin-type O-glycan No 10,,44,4,,,,,EX_MGlcn10_m
MGlcn100_m,mucin-type O-glycan No 100,,61,5,,,,,EX_MGlcn100_m
MGlcn100_rl_m,released mucin-type O-glycan No 100,1607.4538,61,5,,,,,EX_MGlcn100_rl_m
MGlcn101_m,mucin-type O-glycan No 101,,69,6,,,,,EX_MGlcn101_m
MGlcn101_rl_m,released mucin-type O-glycan No 101,1810.64632,69,6,,,,,EX_MGlcn101_rl_m
MGlcn102_m,mucin-type O-glycan No 102,,80,7,,,,,EX_MGlcn102_m
MGlcn102_rl_m,released mucin-type O-glycan No 102,2100.89296,80,7,,,,,EX_MGlcn102_rl_m
MGlcn103_m,mucin-type O-glycan No 103,,88,8,,,,,EX_MGlcn103_m
MGlcn103_rl_m,released mucin-type O-glycan No 103,2304.08548,88,8,,,,,EX_MGlcn103_rl_m
MGlcn104_m,mucin-type O-glycan No 104,,46,2,,,,,EX_MGlcn104_m
MGlcn104_rl_m,released mucin-type O-glycan No 104,1219.10392,46,2,,,,,EX_MGlcn104_rl_m
MGlcn105_m,mucin-type O-glycan No 105,,46,2,,,,,EX_MGlcn105_m
MGlcn105_rl_m,released mucin-type O-glycan No 105,1219.10392,46,2,,,,,EX_MGlcn105_rl_m
MGlcn106_m,mucin-type O-glycan No 106,,54,3,,,,,EX_MGlcn106_m
MGlcn106_rl_m,released mucin-type O-glycan No 106,1422.29644,54,3,,,,,EX_MGlcn106_rl_m
MGlcn107_m,mucin-type O-glycan No 107,,54,3,,,,,EX_MGlcn107_m
MGlcn107_rl_m,released mucin-type O-glycan No 107,1422.29644,54,3,,,,,EX_MGlcn107_rl_m
MGlcn108_m,mucin-type O-glycan No 108,,42,3,,,,,EX_MGlcn108_m
MGlcn108_rl_m,released mucin-type O-glycan No 108,1098.01524,42,3,,,,,EX_MGlcn108_rl_m
MGlcn109_m,mucin-type O-glycan No 109,,36,3,,,,,EX_MGlcn109_m
MGlcn109_rl_m,released mucin-type O-glycan No 109,951.87404,36,3,,,,,EX_MGlcn109_rl_m
MGlcn10_rl_m,released mucin-type O-glycan No 10,1167.0342,44,4,,,,,EX_MGlcn10_rl_m
MGlcn110_m,mucin-type O-glycan No 110,,36,3,,,,,EX_MGlcn110_m
MGlcn110_rl_m,released mucin-type O-glycan No 110,951.87404,36,3,,,,,EX_MGlcn110_rl_m
MGlcn111_m,mucin-type O-glycan No 111,,34,2,,,,,EX_MGlcn111_m
MGlcn111_rl_m,released mucin-type O-glycan No 111,910.8221199999999,34,2,,,,,EX_MGlcn111_rl_m
MGlcn112_m,mucin-type O-glycan No 112,,34,2,,,,,EX_MGlcn112_m
MGlcn112_rl_m,released mucin-type O-glycan No 112,910.8221199999999,34,2,,,,,EX_MGlcn112_rl_m
MGlcn113_m,mucin-type O-glycan No 113,,42,3,,,,,EX_MGlcn113_m
MGlcn113_rl_m,released mucin-type O-glycan No 113,1114.0146399999999,42,3,,,,,EX_MGlcn113_rl_m
MGlcn114_m,mucin-type O-glycan No 114,,40,2,,,,,EX_MGlcn114_m
MGlcn114_rl_m,released mucin-type O-glycan No 114,1072.96272,40,2,,,,,EX_MGlcn114_rl_m
MGlcn115_m,mucin-type O-glycan No 115,,48,3,,,,,EX_MGlcn115_m
MGlcn115_rl_m,released mucin-type O-glycan No 115,1276.15524,48,3,,,,,EX_MGlcn115_rl_m
MGlcn116_m,mucin-type O-glycan No 116,,33,3,,,,,EX_MGlcn116_m
MGlcn116_rl_m,released mucin-type O-glycan No 116,876.78756,33,3,,,,,EX_MGlcn116_rl_m
MGlcn117_m,mucin-type O-glycan No 117,,39,3,,,,,EX_MGlcn117_m
MGlcn117_rl_m,released mucin-type O-glycan No 117,1038.92816,39,3,,,,,EX_MGlcn117_rl_m
MGlcn118_m,mucin-type O-glycan No 118,,53,4,,,,,EX_MGlcn118_m
MGlcn118_rl_m,released mucin-type O-glycan No 118,1388.26188,53,4,,,,,EX_MGlcn118_rl_m
MGlcn119_m,mucin-type O-glycan No 119,,53,4,,,,,EX_MGlcn119_m
MGlcn119_rl_m,released mucin-type O-glycan No 119,1388.26188,53,4,,,,,EX_MGlcn119_rl_m
MGlcn12_m,mucin-type O-glycan No 12,,22,2,,,,,EX_MGlcn12_m
MGlcn120_m,mucin-type O-glycan No 120,,47,4,,,,,EX_MGlcn120_m
MGlcn120_rl_m,released mucin-type O-glycan No 120,1242.12068,47,4,,,,,EX_MGlcn120_rl_m
MGlcn121_m,mucin-type O-glycan No 121,,61,5,,,,,EX_MGlcn121_m
MGlcn121_rl_m,released mucin-type O-glycan No 121,1591.4544,61,5,,,,,EX_MGlcn121_rl_m
MGlcn122_m,mucin-type O-glycan No 122,,61,5,,,,,EX_MGlcn122_m
MGlcn122_rl_m,released mucin-type O-glycan No 122,1591.4544,61,5,,,,,EX_MGlcn122_rl_m
MGlcn123_m,mucin-type O-glycan No 123,,55,5,,,,,EX_MGlcn123_m
MGlcn123_rl_m,released mucin-type O-glycan No 123,1445.3131999999998,55,5,,,,,EX_MGlcn123_rl_m
MGlcn124_m,mucin-type O-glycan No 124,,55,5,,,,,EX_MGlcn124_m
MGlcn124_rl_m,released mucin-type O-glycan No 124,1445.3131999999998,55,5,,,,,EX_MGlcn124_rl_m
MGlcn126_m,mucin-type O-glycan No 126,,61,5,,,,,EX_MGlcn126_m
MGlcn126_rl_m,released mucin-type O-glycan No 126,1607.4538,61,5,,,,,EX_MGlcn126_rl_m
MGlcn127_m,mucin-type O-glycan No 127,,75,6,,,,,EX_MGlcn127_m
MGlcn127_rl_m,released mucin-type O-glycan No 127,1956.78752,75,6,,,,,EX_MGlcn127_rl_m
MGlcn128_m,mucin-type O-glycan No 128,,75,6,,,,,EX_MGlcn128_m
MGlcn128_rl_m,released mucin-type O-glycan No 128,1956.78752,75,6,,,,,EX_MGlcn128_rl_m
MGlcn129_m,mucin-type O-glycan No 129,,75,6,,,,,EX_MGlcn129_m
MGlcn129_rl_m,released mucin-type O-glycan No 129,1956.78752,75,6,,,,,EX_MGlcn129_rl_m
MGlcn12_rl_m,released mucin-type O-glycan No 12,586.54092,22,2,,,,,EX_MGlcn12_rl_m
MGlcn13_m,mucin-type O-glycan No 13,,30,3,,,,,EX_MGlcn13_m
MGlcn130_m,mucin-type O-glycan No 130,,69,6,,,,,EX_MGlcn130_m
MGlcn130_rl_m,released mucin-type O-glycan No 130,1810.64632,69,6,,,,,EX_MGlcn130_rl_m
MGlcn131_m,mucin-type O-glycan No 131,,69,6,,,,,EX_MGlcn131_m
MGlcn131_rl_m,released mucin-type O-glycan No 131,1810.64632,69,6,,,,,EX_MGlcn131_rl_m
MGlcn132_m,mucin-type O-glycan No 132,,69,6,,,,,EX_MGlcn132_m
MGlcn132_rl_m,released mucin-type O-glycan No 132,1810.64632,69,6,,,,,EX_MGlcn132_rl_m
MGlcn133_m,mucin-type O-glycan No 133,,83,7,,,,,EX_MGlcn133_m
MGlcn133_rl_m,released mucin-type O-glycan No 133,2159.98004,83,7,,,,,EX_MGlcn133_rl_m
MGlcn134_m,mucin-type O-glycan No 134,,83,7,,,,,EX_MGlcn134_m
MGlcn134_rl_m,released mucin-type O-glycan No 134,2159.98004,83,7,,,,,EX_MGlcn134_rl_m
MGlcn135_m,mucin-type O-glycan No 135,,77,7,,,,,EX_MGlcn135_m
MGlcn135_rl_m,released mucin-type O-glycan No 135,2013.83884,77,7,,,,,EX_MGlcn135_rl_m
MGlcn136_m,mucin-type O-glycan No 136,,77,7,,,,,EX_MGlcn136_m
MGlcn136_rl_m,released mucin-type O-glycan No 136,2013.83884,77,7,,,,,EX_MGlcn136_rl_m
MGlcn137_m,mucin-type O-glycan No 137,,34,2,,,,,EX_MGlcn137_m
MGlcn137_rl_m,released mucin-type O-glycan No 137,894.82272,34,2,,,,,EX_MGlcn137_rl_m
MGlcn138_m,mucin-type O-glycan No 138,,34,2,,,,,EX_MGlcn138_m
MGlcn138_rl_m,released mucin-type O-glycan No 138,894.82272,34,2,,,,,EX_MGlcn138_rl_m
MGlcn139_m,mucin-type O-glycan No 139,,34,2,,,,,EX_MGlcn139_m
MGlcn139_rl_m,released mucin-type O-glycan No 139,894.82272,34,2,,,,,EX_MGlcn139_rl_m
MGlcn13_rl_m,released mucin-type O-glycan No 13,789.73344,30,3,,,,,EX_MGlcn13_rl_m
MGlcn14_m,mucin-type O-glycan No 14,,36,3,,,,,EX_MGlcn14_m
MGlcn140_m,mucin-type O-glycan No 140,,34,2,,,,,EX_MGlcn140_m
MGlcn140_rl_m,released mucin-type O-glycan No 140,894.82272,34,2,,,,,EX_MGlcn140_rl_m
MGlcn141_m,mucin-type O-glycan No 141,,28,2,,,,,EX_MGlcn141_m
MGlcn141_rl_m,released mucin-type O-glycan No 141,732.68212,28,2,,,,,EX_MGlcn141_rl_m
MGlcn142_m,mucin-type O-glycan No 142,,28,2,,,,,EX_MGlcn142_m
MGlcn142_rl_m,released mucin-type O-glycan No 142,732.68212,28,2,,,,,EX_MGlcn142_rl_m
MGlcn143_m,mucin-type O-glycan No 143,,28,2,,,,,EX_MGlcn143_m
MGlcn143_rl_m,released mucin-type O-glycan No 143,732.68212,28,2,,,,,EX_MGlcn143_rl_m
MGlcn144_m,mucin-type O-glycan No 144,,28,2,,,,,EX_MGlcn144_m
MGlcn144_rl_m,released mucin-type O-glycan No 144,732.68212,28,2,,,,,EX_MGlcn144_rl_m
MGlcn145_m,mucin-type O-glycan No 145,,34,2,,,,,EX_MGlcn145_m
MGlcn145_rl_m,released mucin-type O-glycan No 145,878.82332,34,2,,,,,EX_MGlcn145_rl_m
MGlcn146_m,mucin-type O-glycan No 146,,34,2,,,,,EX_MGlcn146_m
MGlcn146_rl_m,released mucin-type O-glycan No 146,878.82332,34,2,,,,,EX_MGlcn146_rl_m
MGlcn147_m,mucin-type O-glycan No 147,,33,3,,,,,EX_MGlcn147_m
MGlcn147_rl_m,released mucin-type O-glycan No 147,876.78756,33,3,,,,,EX_MGlcn147_rl_m
MGlcn148_m,mucin-type O-glycan No 148,,22,2,,,,,EX_MGlcn148_m
MGlcn148_rl_m,released mucin-type O-glycan No 148,586.54092,22,2,,,,,EX_MGlcn148_rl_m
MGlcn149_m,mucin-type O-glycan No 149,,36,3,,,,,EX_MGlcn149_m
MGlcn149_rl_m,released mucin-type O-glycan No 149,935.87464,36,3,,,,,EX_MGlcn149_rl_m
MGlcn14_rl_m,released mucin-type O-glycan No 14,951.87404,36,3,,,,,EX_MGlcn14_rl_m
MGlcn15_m,mucin-type O-glycan No 15,,50,4,,,,,EX_MGlcn15_m
MGlcn150_m,mucin-type O-glycan No 150,,41,4,,,,,EX_MGlcn150_m
MGlcn150_rl_m,released mucin-type O-glycan No 150,1079.98008,41,4,,,,,EX_MGlcn150_rl_m
MGlcn151_m,mucin-type O-glycan No 151,,41,4,,,,,EX_MGlcn151_m
MGlcn151_rl_m,released mucin-type O-glycan No 151,1079.98008,41,4,,,,,EX_MGlcn151_rl_m
MGlcn152_m,mucin-type O-glycan No 152,,52,5,,,,,EX_MGlcn152_m
MGlcn152_rl_m,released mucin-type O-glycan No 152,1370.22672,52,5,,,,,EX_MGlcn152_rl_m
MGlcn153_m,mucin-type O-glycan No 153,,30,3,,,,,EX_MGlcn153_m
MGlcn153_rl_m,released mucin-type O-glycan No 153,789.73344,30,3,,,,,EX_MGlcn153_rl_m
MGlcn154_m,mucin-type O-glycan No 154,,30,3,,,,,EX_MGlcn154_m
MGlcn154_rl_m,released mucin-type O-glycan No 154,789.73344,30,3,,,,,EX_MGlcn154_rl_m
MGlcn155_m,mucin-type O-glycan No 155,,36,3,,,,,EX_MGlcn155_m
MGlcn155_rl_m,released mucin-type O-glycan No 155,935.87464,36,3,,,,,EX_MGlcn155_rl_m
MGlcn156_m,mucin-type O-glycan No 156,,30,3,,,,,EX_MGlcn156_m
MGlcn156_rl_m,released mucin-type O-glycan No 156,789.73344,30,3,,,,,EX_MGlcn156_rl_m
MGlcn157_m,mucin-type O-glycan No 157,,40,2,,,,,EX_MGlcn157_m
MGlcn157_rl_m,released mucin-type O-glycan No 157,1040.96392,40,2,,,,,EX_MGlcn157_rl_m
MGlcn158_m,mucin-type O-glycan No 158,,28,2,,,,,EX_MGlcn158_m
MGlcn158_rl_m,released mucin-type O-glycan No 158,748.68152,28,2,,,,,EX_MGlcn158_rl_m
MGlcn159_m,mucin-type O-glycan No 159,,28,2,,,,,EX_MGlcn159_m
MGlcn159_rl_m,released mucin-type O-glycan No 159,748.68152,28,2,,,,,EX_MGlcn159_rl_m
MGlcn15_rl_m,released mucin-type O-glycan No 15,1301.20776,50,4,,,,,EX_MGlcn15_rl_m
MGlcn16_m,mucin-type O-glycan No 16,,52,5,,,,,EX_MGlcn16_m
MGlcn160_m,mucin-type O-glycan No 160,,28,2,,,,,EX_MGlcn160_m
MGlcn160_rl_m,released mucin-type O-glycan No 160,748.68152,28,2,,,,,EX_MGlcn160_rl_m
MGlcn161_m,mucin-type O-glycan No 161,,42,3,,,,,EX_MGlcn161_m
MGlcn161_rl_m,released mucin-type O-glycan No 161,1098.01524,42,3,,,,,EX_MGlcn161_rl_m
MGlcn162_m,mucin-type O-glycan No 162,,67,5,,,,,EX_MGlcn162_m
MGlcn162_rl_m,released mucin-type O-glycan No 162,1753.595,67,5,,,,,EX_MGlcn162_rl_m
MGlcn163_m,mucin-type O-glycan No 163,,36,3,,,,,EX_MGlcn163_m
MGlcn163_rl_m,released mucin-type O-glycan No 163,951.87404,36,3,,,,,EX_MGlcn163_rl_m
MGlcn164_m,mucin-type O-glycan No 164,,55,5,,,,,EX_MGlcn164_m
MGlcn164_rl_m,released mucin-type O-glycan No 164,1445.3131999999998,55,5,,,,,EX_MGlcn164_rl_m
MGlcn165_m,mucin-type O-glycan No 165,,55,5,,,,,EX_MGlcn165_m
MGlcn165_rl_m,released mucin-type O-glycan No 165,1445.3131999999998,55,5,,,,,EX_MGlcn165_rl_m
MGlcn166_m,mucin-type O-glycan No 166,,44,4,,,,,EX_MGlcn166_m
MGlcn166_rl_m,released mucin-type O-glycan No 166,1155.06656,44,4,,,,,EX_MGlcn166_rl_m
MGlcn167_m,mucin-type O-glycan No 167,,63,6,,,,,EX_MGlcn167_m
MGlcn167_rl_m,released mucin-type O-glycan No 167,1648.50572,63,6,,,,,EX_MGlcn167_rl_m
MGlcn168_m,mucin-type O-glycan No 168,,63,6,,,,,EX_MGlcn168_m
MGlcn168_rl_m,released mucin-type O-glycan No 168,1648.50572,63,6,,,,,EX_MGlcn168_rl_m
MGlcn169_m,mucin-type O-glycan No 169,,63,6,,,,,EX_MGlcn169_m
MGlcn169_rl_m,released mucin-type O-glycan No 169,1648.50572,63,6,,,,,EX_MGlcn169_rl_m
MGlcn16_rl_m,released mucin-type O-glycan No 16,1358.2590799999998,52,5,,,,,EX_MGlcn16_rl_m
MGlcn17_m,mucin-type O-glycan No 17,,72,6,,,,,EX_MGlcn17_m
MGlcn170_m,mucin-type O-glycan No 170,,52,5,,,,,EX_MGlcn170_m
MGlcn170_rl_m,released mucin-type O-glycan No 170,1358.2590799999998,52,5,,,,,EX_MGlcn170_rl_m
MGlcn171_m,mucin-type O-glycan No 171,,52,5,,,,,EX_MGlcn171_m
MGlcn171_rl_m,released mucin-type O-glycan No 171,1358.2590799999998,52,5,,,,,EX_MGlcn171_rl_m
MGlcn172_m,mucin-type O-glycan No 172,,48,3,,,,,EX_MGlcn172_m
MGlcn172_rl_m,released mucin-type O-glycan No 172,1260.1558400000001,48,3,,,,,EX_MGlcn172_rl_m
MGlcn173_m,mucin-type O-glycan No 173,,42,3,,,,,EX_MGlcn173_m
MGlcn173_rl_m,released mucin-type O-glycan No 173,1114.0146399999999,42,3,,,,,EX_MGlcn173_rl_m
MGlcn174_m,mucin-type O-glycan No 174,,49,5,,,,,EX_MGlcn174_m
MGlcn174_rl_m,released mucin-type O-glycan No 174,1283.1726,49,5,,,,,EX_MGlcn174_rl_m
MGlcn175_m,mucin-type O-glycan No 175,,38,4,,,,,EX_MGlcn175_m
MGlcn175_rl_m,released mucin-type O-glycan No 175,992.92596,38,4,,,,,EX_MGlcn175_rl_m
MGlcn176_m,mucin-type O-glycan No 176,,61,5,,,,,EX_MGlcn176_m
MGlcn176_rl_m,released mucin-type O-glycan No 176,1591.4544,61,5,,,,,EX_MGlcn176_rl_m
MGlcn177_m,mucin-type O-glycan No 177,,50,4,,,,,EX_MGlcn177_m
MGlcn177_rl_m,released mucin-type O-glycan No 177,1301.20776,50,4,,,,,EX_MGlcn177_rl_m
MGlcn178_m,mucin-type O-glycan No 178,,66,6,,,,,EX_MGlcn178_m
MGlcn178_rl_m,released mucin-type O-glycan No 178,1735.55984,66,6,,,,,EX_MGlcn178_rl_m
MGlcn179_m,mucin-type O-glycan No 179,,69,6,,,,,EX_MGlcn179_m
MGlcn179_rl_m,released mucin-type O-glycan No 179,1794.64692,69,6,,,,,EX_MGlcn179_rl_m
MGlcn17_rl_m,released mucin-type O-glycan No 17,1869.7334,72,6,,,,,EX_MGlcn17_rl_m
MGlcn18_m,mucin-type O-glycan No 18,,44,4,,,,,EX_MGlcn18_m
MGlcn180_m,mucin-type O-glycan No 180,,58,5,,,,,EX_MGlcn180_m
MGlcn180_rl_m,released mucin-type O-glycan No 180,1504.40028,58,5,,,,,EX_MGlcn180_rl_m
